# uv_i_x uv_i_y  uv_j_x uv_j_y
0.078734 0.751294  0.677004 0.678200
0.062961 0.753549  0.666691 0.699655
0.062011 0.725589  0.784404 0.337314
0.083060 0.784419  0.502509 0.362531
0.865476 0.393140  0.489667 0.355792
0.109422 0.777210  0.647284 0.661473
0.047157 0.754765  0.654493 0.706337
0.054469 0.765776  0.658371 0.695905
0.447975 0.401886  0.502237 0.377020
0.140994 0.755300  0.865144 0.331274
0.132368 0.767871  0.671966 0.654579
0.124696 0.779263  0.656359 0.641569
0.046274 0.728072  0.692369 0.711916
0.089382 0.693419  0.291571 0.880234
0.439038 0.376183  0.514974 0.382769
0.449222 0.388329  0.489396 0.370487
0.103072 0.789458  0.527089 0.373544
0.118096 0.789463  0.643350 0.639722
0.039249 0.766461  0.642541 0.710436
0.031137 0.755358  0.652499 0.719716
0.045880 0.775256  0.514132 0.409882
0.460963 0.411298  0.501736 0.390997
0.238539 0.868917  0.771761 0.364215
0.461568 0.397617  0.488873 0.384562
0.147229 0.767015  0.682297 0.640907
0.139200 0.780460  0.669858 0.644487
0.132544 0.791295  0.656152 0.635361
0.031141 0.730687  0.691845 0.726755
0.023516 0.742484  0.664207 0.728027
0.036160 0.714927  0.771761 0.364215
0.251147 0.874982  0.768466 0.378939
0.067309 0.679989  0.781330 0.403815
0.082171 0.680310  0.768533 0.409087
0.166184 0.744638  0.709141 0.640807
0.450641 0.376100  0.502237 0.377020
0.440533 0.357473  0.515077 0.353816
0.462675 0.383654  0.476127 0.377539
0.112429 0.799774  0.527001 0.344827
0.126483 0.800855  0.643025 0.629465
0.474975 0.422359  0.501693 0.418941
0.024418 0.764684  0.640393 0.725174
0.016530 0.751893  0.651570 0.734352
0.474726 0.405998  0.501736 0.390997
0.237913 0.879674  0.783629 0.373300
0.051278 0.680705  0.783629 0.373300
0.175497 0.732557  0.727784 0.632322
0.451846 0.363579  0.502509 0.362531
0.154680 0.779889  0.683059 0.625556
0.162408 0.766200  0.694633 0.618786
0.172415 0.757408  0.706796 0.612573
0.146636 0.793176  0.656152 0.635361
0.140223 0.803087  0.643025 0.629465
0.018420 0.726516  0.677544 0.735182
0.022446 0.720253  0.690485 0.741241
0.011251 0.737452  0.664378 0.742549
0.025270 0.702911  0.291571 0.880234
0.259370 0.880951  0.767807 0.394574
0.244938 0.886796  0.768466 0.378939
0.075485 0.666847  0.781330 0.403815
0.060979 0.666514  0.781330 0.403815
0.181748 0.745675  0.719526 0.606968
0.463725 0.370245  0.489396 0.370487
0.440064 0.342038  0.514891 0.338918
0.452104 0.349194  0.502510 0.347553
0.427364 0.335792  0.526110 0.330401
0.414186 0.330846  0.537158 0.322380
0.230159 0.890720  0.783629 0.373300
0.048953 0.666545  0.795584 0.408776
0.183705 0.719487  0.741574 0.627112
0.190243 0.732842  0.733284 0.601794
0.464157 0.356144  0.489667 0.355792
0.169053 0.778943  0.682715 0.610589
