# uv_i_x uv_i_y  uv_j_x uv_j_y
0.089755 0.748074  0.865144 0.331274
0.092986 0.739100  0.796497 0.329753
0.102982 0.743852  0.682297 0.640907
0.082752 0.737637  0.779933 0.325874
0.096217 0.730127  0.796497 0.329753
0.096203 0.757708  0.515077 0.353816
0.078734 0.751294  0.677004 0.678200
0.233858 0.827998  0.796497 0.329753
0.111474 0.731500  0.682297 0.640907
0.869672 0.424225  0.656359 0.641569
0.110268 0.755145  0.488930 0.325244
0.070629 0.738840  0.796497 0.329753
0.247260 0.831353  0.710989 0.688560
0.090594 0.716660  0.703481 0.703781
0.118795 0.743780  0.670566 0.633251
0.104239 0.718597  0.703481 0.703781
0.869461 0.408546  0.515077 0.353816
0.101967 0.767121  0.489667 0.355792
0.062961 0.753549  0.666691 0.699655
0.070267 0.764780  0.647284 0.661473
0.235826 0.842181  0.703481 0.703781
0.127535 0.731718  0.682297 0.640907
0.119749 0.719817  0.695484 0.647739
0.077121 0.775193  0.515112 0.368448
0.125661 0.755620  0.475843 0.318288
0.117370 0.766935  0.475843 0.318288
0.054996 0.741287  0.678947 0.705727
0.062011 0.725589  0.784404 0.337314
0.251104 0.846091  0.704005 0.718227
0.082563 0.704498  0.703481 0.703781
0.096963 0.705957  0.703481 0.703781
0.134520 0.743870  0.488454 0.309773
0.111750 0.707528  0.703481 0.703781
0.083060 0.784419  0.502509 0.362531
0.865476 0.393140  0.489667 0.355792
0.109422 0.777210  0.647284 0.661473
0.047157 0.754765  0.654493 0.706337
0.054469 0.765776  0.658371 0.695905
0.061019 0.775428  0.514974 0.382769
0.237766 0.855755  0.704005 0.718227
0.135808 0.719399  0.682297 0.640907
0.143673 0.731240  0.670566 0.633251
0.126588 0.709566  0.688568 0.755947
0.447975 0.401886  0.502237 0.377020
0.140994 0.755300  0.865144 0.331274
0.132368 0.767871  0.671966 0.654579
0.124696 0.779263  0.656359 0.641569
0.039240 0.742978  0.665200 0.713704
0.046274 0.728072  0.692369 0.711916
0.052079 0.712268  0.704614 0.733560
0.252956 0.861193  0.704614 0.733560
0.074438 0.692556  0.771761 0.364215
0.089382 0.693419  0.291571 0.880234
0.104098 0.695015  0.291571 0.880234
0.150286 0.743592  0.487944 0.294023
0.119197 0.696881  0.291571 0.880234
0.439038 0.376183  0.514974 0.382769
0.449222 0.388329  0.489396 0.370487
0.103072 0.789458  0.527089 0.373544
0.118096 0.789463  0.643350 0.639722
0.039249 0.766461  0.642541 0.710436
0.031137 0.755358  0.652499 0.719716
0.045880 0.775256  0.514132 0.409882
0.460963 0.411298  0.501736 0.390997
0.238539 0.868917  0.771761 0.364215
0.153103 0.717497  0.670566 0.633251
0.141661 0.710685  0.690485 0.741241
0.159655 0.731454  0.487175 0.278141
0.133540 0.699274  0.703245 0.747740
0.461568 0.397617  0.488873 0.384562
0.147229 0.767015  0.682297 0.640907
0.156504 0.755285  0.695536 0.633403
0.139200 0.780460  0.669858 0.644487
0.132544 0.791295  0.656152 0.635361
0.031141 0.730687  0.691845 0.726755
0.023516 0.742484  0.664207 0.728027
0.036160 0.714927  0.771761 0.364215
0.040987 0.699451  0.703245 0.747740
0.251147 0.874982  0.768466 0.378939
0.067309 0.679989  0.781330 0.403815
0.082171 0.680310  0.768533 0.409087
0.097024 0.681821  0.291571 0.880234
0.112124 0.683722  0.291571 0.880234
0.166184 0.744638  0.709141 0.640807
0.127349 0.685861  0.291571 0.880234
0.450641 0.376100  0.502237 0.377020
0.440533 0.357473  0.515077 0.353816
0.462675 0.383654  0.476127 0.377539
0.112429 0.799774  0.527001 0.344827
0.126483 0.800855  0.643025 0.629465
0.474975 0.422359  0.501693 0.418941
0.024418 0.764684  0.640393 0.725174
0.016530 0.751893  0.651570 0.734352
0.474726 0.405998  0.501736 0.390997
0.237913 0.879674  0.783629 0.373300
0.051278 0.680705  0.783629 0.373300
0.147515 0.701970  0.703245 0.747740
0.168430 0.718442  0.487175 0.278141
0.175497 0.732557  0.727784 0.632322
0.141895 0.687545  0.703245 0.747740
0.451846 0.363579  0.502509 0.362531
0.154680 0.779889  0.683059 0.625556
0.162408 0.766200  0.694633 0.618786
0.172415 0.757408  0.706796 0.612573
0.146636 0.793176  0.656152 0.635361
0.140223 0.803087  0.643025 0.629465
0.018420 0.726516  0.677544 0.735182
0.022446 0.720253  0.690485 0.741241
0.011251 0.737452  0.664378 0.742549
0.025270 0.702911  0.291571 0.880234
0.259370 0.880951  0.767807 0.394574
0.244938 0.886796  0.768466 0.378939
0.075485 0.666847  0.781330 0.403815
0.060979 0.666514  0.781330 0.403815
0.090503 0.668153  0.767807 0.394574
0.105564 0.670088  0.767807 0.394574
0.120848 0.672199  0.767807 0.394574
0.162408 0.703946  0.703245 0.747740
0.181748 0.745675  0.719526 0.606968
0.136064 0.674579  0.291571 0.880234
0.463725 0.370245  0.489396 0.370487
0.440064 0.342038  0.514891 0.338918
0.452104 0.349194  0.502510 0.347553
0.427364 0.335792  0.526110 0.330401
0.414186 0.330846  0.537158 0.322380
0.230159 0.890720  0.783629 0.373300
0.048953 0.666545  0.795584 0.408776
0.156781 0.689537  0.703245 0.747740
0.177505 0.705789  0.690485 0.741241
0.183705 0.719487  0.741574 0.627112
0.190243 0.732842  0.733284 0.601794
0.151207 0.676712  0.703245 0.747740
0.464157 0.356144  0.489667 0.355792
0.169053 0.778943  0.682715 0.610589
0.162020 0.792531  0.672621 0.603737
0.949262 0.884301  0.694808 0.603559
0.187038 0.756505  0.707892 0.596944
0.154173 0.805080  0.657745 0.611083
0.400490 0.326705  0.537158 0.322380
0.009775 0.722741  0.677010 0.750357
0.011954 0.709289  0.688568 0.755947
0.014084 0.694189  0.291571 0.880234
0.782098 0.417203  0.767807 0.394574
0.795584 0.408776  0.781992 0.388104
0.069360 0.653058  0.781330 0.403815
0.084073 0.654356  0.781330 0.403815
0.055848 0.652474  0.742558 0.757851
0.099200 0.656237  0.767807 0.394574
0.114554 0.658358  0.767807 0.394574
0.130011 0.660742  0.767807 0.394574
0.171833 0.692003  0.703245 0.747740
0.196291 0.745675  0.721837 0.591514
0.145231 0.662948  0.767807 0.394574
0.451506 0.334092  0.502141 0.332225
0.438992 0.327067  0.514439 0.323852
0.464071 0.341408  0.489531 0.340529
0.425995 0.321050  0.526665 0.316206
0.412571 0.315869  0.640738 0.606424
0.808467 0.399306  0.804718 0.375169
0.044962 0.651754  0.742558 0.757851
0.166216 0.678477  0.703245 0.747740
0.192858 0.707438  0.755444 0.622346
0.186971 0.694165  0.703245 0.747740
0.199114 0.720703  0.744204 0.612354
0.204915 0.733367  0.735839 0.587049
0.160373 0.665006  0.703245 0.747740
0.182850 0.778445  0.894430 0.942486
0.176005 0.791241  0.894430 0.942486
0.169482 0.804327  0.672194 0.588859
0.192479 0.768032  0.696673 0.588990
0.202603 0.758392  0.710091 0.582122
0.386299 0.322516  0.657151 0.585525
0.399310 0.310782  0.648497 0.595395
0.064060 0.639143  0.758406 0.757273
0.051902 0.638338  0.758406 0.757273
0.108476 0.644378  0.767807 0.394574
0.124079 0.646677  0.767807 0.394574
0.139533 0.649089  0.767807 0.394574
0.181277 0.680859  0.703245 0.747740
0.211912 0.747105  0.735839 0.587049
0.154548 0.651244  0.767807 0.394574
0.450645 0.318733  0.501653 0.317107
0.463350 0.326342  0.488930 0.325244
0.437748 0.311819  0.514574 0.309078
0.424419 0.305639  0.526309 0.301549
0.411266 0.299760  0.540114 0.296243
0.040803 0.637343  0.764924 0.746293
0.175607 0.667134  0.703245 0.747740
0.201957 0.695449  0.704614 0.733560
0.208263 0.708503  0.757664 0.608425
0.196268 0.682631  0.703245 0.747740
0.214120 0.721345  0.761017 0.593725
0.219931 0.734221  0.749192 0.584003
0.169873 0.653324  0.767807 0.394574
0.196255 0.778133  0.685556 0.580790
0.189363 0.790260  0.685556 0.580790
0.183096 0.802702  0.664987 0.579065
0.176634 0.813842  0.664987 0.579065
0.207437 0.769869  0.698784 0.575458
0.217619 0.759635  0.724354 0.576811
0.385927 0.305236  0.653524 0.571973
0.397797 0.294289  0.641863 0.581378
0.073169 0.626500  0.780355 0.744221
0.059353 0.625166  0.774117 0.756466
0.087766 0.628319  0.786028 0.731535
0.102837 0.630396  0.786028 0.731535
0.047630 0.624194  0.774117 0.756466
0.118208 0.632642  0.790585 0.717701
0.133795 0.635161  0.794557 0.703602
0.149248 0.637569  0.794557 0.703602
0.190584 0.669037  0.703245 0.747740
0.225512 0.746588  0.738358 0.573095
0.164305 0.639648  0.797905 0.688971
0.449740 0.303309  0.501224 0.301634
0.462526 0.310905  0.488454 0.309773
0.436678 0.296367  0.513765 0.293663
0.421882 0.289960  0.526995 0.286132
0.313602 0.551226  0.540237 0.279354
0.184534 0.655440  0.703245 0.747740
0.210719 0.683919  0.704614 0.733560
0.217171 0.696071  0.771836 0.604780
0.223140 0.708957  0.761017 0.593725
0.205030 0.670969  0.703245 0.747740
0.229555 0.722303  0.762901 0.580728
0.234737 0.734421  0.751347 0.570876
0.179228 0.641594  0.797905 0.688971
0.211253 0.780538  0.701098 0.561798
0.200248 0.788694  0.687148 0.565007
0.194855 0.801634  0.672822 0.572605
0.188162 0.813859  0.662984 0.564112
0.373223 0.298568  0.653524 0.571973
0.222129 0.770837  0.714996 0.556280
0.232449 0.759856  0.726518 0.564032
0.389763 0.291170  0.562988 0.282459
0.312074 0.537925  0.552498 0.272945
0.068223 0.612470  0.789583 0.753888
0.082569 0.614241  0.795340 0.740988
0.055508 0.611375  0.789583 0.753888
0.097623 0.616435  0.786028 0.731535
0.112711 0.618610  0.786028 0.731535
0.043553 0.610317  0.930332 0.932500
0.128383 0.621206  0.790585 0.717701
0.144055 0.624005  0.794557 0.703602
0.159312 0.626336  0.794557 0.703602
0.238951 0.745454  0.742549 0.548503
0.173882 0.627668  0.797905 0.688971
0.462290 0.294821  0.487944 0.294023
0.449429 0.287818  0.500461 0.285778
0.433441 0.280506  0.513285 0.277482
0.419225 0.276288  0.526349 0.257142
0.381730 0.288050  0.562988 0.282459
0.405308 0.272401  0.542874 0.253848
0.193031 0.644153  0.800564 0.674160
0.232062 0.695637  0.774127 0.591254
0.236588 0.708624  0.776223 0.578072
0.243719 0.722042  0.767557 0.555123
0.247166 0.732738  0.756615 0.545154
0.187692 0.630445  0.797905 0.688971
0.281482 0.859736  0.703336 0.548576
0.291530 0.866402  0.860148 0.380420
0.206244 0.801279  0.675949 0.556610
0.199690 0.814375  0.662984 0.564112
0.368145 0.283917  0.579251 0.261789
0.272226 0.852745  0.717200 0.544949
0.246575 0.758510  0.731138 0.541938
0.301530 0.528414  0.554246 0.259931
0.391120 0.268646  0.556647 0.246463
0.064590 0.598968  0.804561 0.750211
0.078264 0.600538  0.809718 0.736573
0.092820 0.602569  0.814115 0.722425
0.052183 0.597856  0.798448 0.762827
0.107959 0.604957  0.817476 0.708129
0.123394 0.607669  0.817476 0.708129
0.139027 0.610674  0.811435 0.684187
0.154501 0.614188  0.932235 0.858979
0.168077 0.612228  0.825190 0.664657
