# uv_i_x uv_i_y  uv_j_x uv_j_y
0.078734 0.751294  0.677004 0.678200
0.235826 0.842181  0.703481 0.703781
0.054469 0.765776  0.658371 0.695905
0.237766 0.855755  0.704005 0.718227
0.046274 0.728072  0.692369 0.711916
0.118096 0.789463  0.643350 0.639722
0.039249 0.766461  0.642541 0.710436
0.031137 0.755358  0.652499 0.719716
0.132544 0.791295  0.656152 0.635361
0.031141 0.730687  0.691845 0.726755
0.023516 0.742484  0.664207 0.728027
0.450641 0.376100  0.502237 0.377020
0.440533 0.357473  0.515077 0.353816
0.112429 0.799774  0.527001 0.344827
0.126483 0.800855  0.643025 0.629465
0.474975 0.422359  0.501693 0.418941
0.024418 0.764684  0.640393 0.725174
0.016530 0.751893  0.651570 0.734352
0.474726 0.405998  0.501736 0.390997
0.451846 0.363579  0.502509 0.362531
0.162408 0.766200  0.694633 0.618786
0.172415 0.757408  0.706796 0.612573
0.018420 0.726516  0.677544 0.735182
0.022446 0.720253  0.690485 0.741241
0.011251 0.737452  0.664378 0.742549
0.244938 0.886796  0.768466 0.378939
0.463725 0.370245  0.489396 0.370487
0.440064 0.342038  0.514891 0.338918
0.452104 0.349194  0.502510 0.347553
0.427364 0.335792  0.526110 0.330401
0.414186 0.330846  0.537158 0.322380
0.230159 0.890720  0.783629 0.373300
0.464157 0.356144  0.489667 0.355792
0.169053 0.778943  0.682715 0.610589
0.949262 0.884301  0.694808 0.603559
0.187038 0.756505  0.707892 0.596944
0.009775 0.722741  0.677010 0.750357
0.011954 0.709289  0.688568 0.755947
0.014084 0.694189  0.291571 0.880234
0.782098 0.417203  0.767807 0.394574
0.795584 0.408776  0.781992 0.388104
0.196291 0.745675  0.721837 0.591514
0.451506 0.334092  0.502141 0.332225
0.438992 0.327067  0.514439 0.323852
0.464071 0.341408  0.489531 0.340529
0.425995 0.321050  0.526665 0.316206
0.412571 0.315869  0.640738 0.606424
0.808467 0.399306  0.804718 0.375169
0.182850 0.778445  0.894430 0.942486
0.192479 0.768032  0.696673 0.588990
0.202603 0.758392  0.710091 0.582122
0.399310 0.310782  0.648497 0.595395
0.450645 0.318733  0.501653 0.317107
0.463350 0.326342  0.488930 0.325244
0.437748 0.311819  0.514574 0.309078
0.424419 0.305639  0.526309 0.301549
0.411266 0.299760  0.540114 0.296243
0.040803 0.637343  0.764924 0.746293
0.196255 0.778133  0.685556 0.580790
0.217619 0.759635  0.724354 0.576811
0.397797 0.294289  0.641863 0.581378
0.047630 0.624194  0.774117 0.756466
0.225512 0.746588  0.738358 0.573095
0.449740 0.303309  0.501224 0.301634
0.462526 0.310905  0.488454 0.309773
0.436678 0.296367  0.513765 0.293663
0.421882 0.289960  0.526995 0.286132
0.313602 0.551226  0.540237 0.279354
0.234737 0.734421  0.751347 0.570876
0.211253 0.780538  0.701098 0.561798
0.200248 0.788694  0.687148 0.565007
0.194855 0.801634  0.672822 0.572605
0.373223 0.298568  0.653524 0.571973
0.222129 0.770837  0.714996 0.556280
0.389763 0.291170  0.562988 0.282459
0.238951 0.745454  0.742549 0.548503
0.462290 0.294821  0.487944 0.294023
0.449429 0.287818  0.500461 0.285778
0.433441 0.280506  0.513285 0.277482
0.405308 0.272401  0.542874 0.253848
0.281482 0.859736  0.703336 0.548576
0.206244 0.801279  0.675949 0.556610
0.199690 0.814375  0.662984 0.564112
0.368145 0.283917  0.579251 0.261789
0.272226 0.852745  0.717200 0.544949
0.246575 0.758510  0.731138 0.541938
0.301530 0.528414  0.554246 0.259931
0.181750 0.616244  0.722920 0.301987
0.461690 0.279485  0.487175 0.278141
0.449031 0.273488  0.499987 0.269436
0.427374 0.265380  0.526349 0.257142
0.375534 0.272804  0.566008 0.252909
0.400063 0.257212  0.544946 0.239946
0.258420 0.730257  0.756615 0.545154
0.437760 0.268765  0.513198 0.260994
0.291571 0.851790  0.860148 0.380420
0.282706 0.844765  0.860148 0.368406
0.218418 0.800374  0.680614 0.535405
0.211791 0.814485  0.667970 0.536706
0.362877 0.269510  0.580740 0.246602
0.274241 0.837377  0.719186 0.535020
0.917912 0.428604  0.732984 0.533230
0.302485 0.514606  0.556647 0.246463
0.263134 0.741456  0.746276 0.533452
0.460489 0.264665  0.486578 0.262703
0.447883 0.259208  0.499228 0.254207
0.423039 0.250689  0.525357 0.243707
0.435962 0.255031  0.510827 0.248895
0.409286 0.246279  0.533320 0.233473
0.369726 0.258561  0.566731 0.238700
0.395453 0.242281  0.546039 0.225835
0.261208 0.706058  0.780907 0.553363
0.576814 0.663295  0.770825 0.542126
0.269656 0.728204  0.760137 0.531920
0.291571 0.836837  0.693513 0.532922
0.284526 0.829695  0.707267 0.527677
0.224278 0.814126  0.591136 0.239443
0.356826 0.255521  0.581409 0.231503
0.277928 0.822656  0.721698 0.523370
0.590378 0.632024  0.735472 0.522936
0.302455 0.501351  0.557714 0.232436
0.380837 0.239129  0.557687 0.217894
0.582504 0.636352  0.749459 0.521728
0.459157 0.250248  0.485137 0.248157
0.446590 0.246119  0.496915 0.241985
0.419784 0.235808  0.521229 0.226791
0.433403 0.240842  0.508993 0.234929
0.405852 0.231367  0.533550 0.218899
0.269142 0.693356  0.794513 0.550911
0.566155 0.665583  0.783893 0.541668
0.570023 0.652066  0.773805 0.530822
0.248782 0.782592  0.309851 0.615318
0.351045 0.241587  0.590596 0.224126
0.591422 0.617133  0.724246 0.513560
0.058061 0.560339  0.833911 0.274490
0.458029 0.238273  0.483079 0.236161
0.444789 0.231575  0.495395 0.227974
0.417379 0.220937  0.520778 0.211720
0.431185 0.225964  0.508099 0.219669
0.403005 0.216273  0.533474 0.203849
0.358673 0.230844  0.581628 0.216378
0.387962 0.212000  0.545854 0.211048
0.552859 0.679894  0.807785 0.549090
0.556152 0.667600  0.797070 0.540415
0.274215 0.669193  0.819887 0.548405
0.365183 0.221159  0.566259 0.209479
0.068834 0.549754  0.837882 0.260340
0.456648 0.223035  0.482035 0.221241
0.443217 0.216675  0.494770 0.212671
0.415378 0.206009  0.520568 0.196568
0.429498 0.211122  0.507618 0.204505
0.546126 0.670467  0.810368 0.538315
0.851896 0.239466  0.841002 0.246030
0.455552 0.207888  0.481469 0.205882
0.442019 0.201846  0.494312 0.197476
0.428150 0.196398  0.507285 0.189363
0.853324 0.225613  0.831806 0.237475
0.454712 0.192950  0.480997 0.190720
0.441001 0.187076  0.493922 0.182387
0.471343 0.724168  0.205709 0.921615
0.886199 0.907824  0.196738 0.910891
0.386102 0.119967  0.300145 0.785149
0.424476 0.122615  0.450859 0.120419
0.399649 0.113885  0.474895 0.102751
0.376199 0.108790  0.489028 0.077928
0.843828 0.161678  0.820320 0.170954
0.389212 0.103201  0.474873 0.087468
0.363110 0.112159  0.501049 0.087195
0.413681 0.109217  0.462271 0.111011
0.403256 0.098389  0.462088 0.079418
0.347421 0.115106  0.514800 0.079289
0.368741 0.099062  0.503008 0.071238
0.378887 0.090330  0.466434 0.024239
0.428950 0.104557  0.448862 0.102337
0.809133 0.161031  0.824133 0.141219
0.394908 0.707984  0.668187 0.125286
0.417829 0.094108  0.448298 0.085009
0.407579 0.082973  0.450484 0.069470
0.397019 0.070114  0.442528 0.039846
0.422868 0.079526  0.437379 0.075155
0.412681 0.068349  0.435682 0.053209
0.402333 0.054816  0.393124 0.038940
0.366609 0.706101  0.693466 0.096984
0.544846 0.843662  0.534602 0.831879
0.337418 0.722465  0.759529 0.115410
0.345100 0.712882  0.719443 0.109730
0.353243 0.702655  0.706469 0.090692
0.355120 0.678413  0.706315 0.077986
0.332336 0.708016  0.732801 0.102929
0.340088 0.698591  0.719441 0.084686
0.341972 0.674920  0.719056 0.072746
0.730053 0.891613  0.718422 0.865349
0.320949 0.701915  0.745848 0.085053
0.327880 0.693387  0.732247 0.079165
0.328718 0.672540  0.718877 0.060109
0.345335 0.650743  0.693358 0.083733
0.323194 0.679318  0.731532 0.067776
0.692912 0.899924  0.694285 0.873655
0.686823 0.911065  0.690099 0.858952
0.731222 0.028873  0.706154 0.064817
0.679566 0.896655  0.680506 0.870367
0.674033 0.907540  0.677558 0.855503
0.667983 0.892903  0.670203 0.866885
0.661180 0.904057  0.667302 0.852106
0.707473 0.050370  0.708314 0.023184
0.656295 0.915225  0.667202 0.838485
0.655834 0.889329  0.659225 0.863180
0.651100 0.900396  0.657691 0.848539
0.695539 0.041222  0.697230 0.027526
0.646298 0.885635  0.649109 0.859524
0.681941 0.046038  0.687247 0.018401
0.638882 0.881981  0.228136 0.956877
0.633038 0.893384  0.035604 0.315416
0.918342 0.363212  0.895111 0.366706
0.916659 0.349419  0.906304 0.328473
0.915144 0.593999  0.084760 0.084426
0.911624 0.541190  0.334332 0.894979
0.905898 0.356865  0.882760 0.362230
0.919217 0.607418  0.099445 0.083601
0.898712 0.535143  0.346926 0.892991
0.905252 0.606035  0.090929 0.072009
0.910169 0.617575  0.114943 0.082867
0.885824 0.541838  0.020420 0.084905
0.895584 0.615287  0.106319 0.072476
0.901369 0.626575  0.122452 0.071279
0.874959 0.519771  0.370179 0.886471
0.906070 0.638463  0.848297 0.947239
0.604864 0.398787  0.844800 0.965095
0.614047 0.409079  0.656238 0.320775
0.894205 0.632736  0.837111 0.953205
0.862298 0.556767  0.370158 0.937771
0.861474 0.541486  0.373191 0.924872
0.896982 0.645565  0.836727 0.939481
0.607616 0.387287  0.641255 0.322502
0.617720 0.395494  0.649738 0.329898
0.627808 0.403949  0.661371 0.334710
0.591962 0.038307  0.594478 0.022326
0.897445 0.660684  0.836349 0.925376
0.432970 0.926994  0.383766 0.932739
0.432547 0.938650  0.381548 0.944874
0.432355 0.913977  0.386826 0.919798
0.854427 0.517894  0.381183 0.898099
0.427361 0.873854  0.404186 0.864855
0.145696 0.839464  0.002519 0.828097
0.610603 0.373887  0.631093 0.331840
0.619063 0.382023  0.640905 0.338154
0.630001 0.389784  0.653006 0.344493
0.640689 0.397330  0.664918 0.350340
0.155048 0.223749  0.141116 0.212075
0.153693 0.238430  0.142399 0.229055
0.774752 0.791863  0.957914 0.183443
0.131833 0.830998  0.617499 0.327865
0.607251 0.362667  0.618510 0.340627
0.420595 0.936056  0.394942 0.938657
0.420701 0.923540  0.395695 0.925693
0.420793 0.910517  0.394260 0.909433
0.421085 0.897367  0.396032 0.894271
0.422146 0.885140  0.399341 0.879435
0.779039 0.820345  0.021861 0.837336
0.619055 0.368832  0.630554 0.346608
0.630916 0.375833  0.642498 0.353297
0.642274 0.382930  0.654695 0.359832
0.791207 0.812856  0.011837 0.826888
0.914969 0.698353  0.836181 0.911119
0.556536 0.954216  0.605601 0.335032
0.793391 0.827088  0.010969 0.839558
0.795158 0.841729  0.010084 0.852022
0.050701 0.136860  0.062673 0.144269
0.796484 0.856512  0.945919 0.375856
0.797406 0.871300  0.837085 0.406594
